Short Item No,Business Unit,"Location ",Lot Serial Number,Primary Location,Lot Stat Code,Quantity On Hand,Quantity Backordered,Quantity On P.O.,Quantity On WO/RC,Quantity On other 1,Quantity On Other 2,Quantity on Other PO,Quantity Hard Committed,Qty Soft Committed,Quantity On Future,WO Soft Commit,Qty Hard Committed WO,Quantity In Transit,Quantity In Inspection,Quantity In Operation 1,Quantity In Operation 2,Last Rcpt Date,Secondary Quantity Hard Committed,Secondary Quantity Soft Committed,Secondary Quantity On Hand,Secondary Quantity On WO/RC,Secondary Quantity On Purchase Order,Secondary WO Hard Committed,Secondary WO Soft Commit,Quantity on Project Hard Commit,Quantity on Project Hard Commit,Unique Configuration ID
14015,"         901",SERVICE,61618,S,,2,,,,,,,,,,,,,,,,10/04/2022,,,,,,,,,,
14017,"         901",FGPAINT,706713,S,,30,,,,,,,,,,,,,,,,10/07/2022,,,,,,,,,,
14017,"         901",PP007,706723LL,S,,5,,,,,,,,,,,,,,,,11/15/2022,,,,,,,,,,
14019,"         901",F00F01,755072,S,,30,,,,,,,,,,,,,,,,12/22/2022,,,,,,,,,,
14019,"         901",F00F01,755082,S,,30,,,,,,,,,,,,,,,,12/22/2022,,,,,,,,,,
14019,"         901",F00F01,755118,S,,30,,,,,,,,,,,,,,,,12/22/2022,,,,,,,,,,
14019,"         901",F00F01,755130,S,,30,,,,,,,,,,,,,,,,12/22/2022,,,,,,,,,,
14019,"         901",F00F01,755135,S,,30,,,,,,,,,,,,,,,,12/22/2022,,,,,,,,,,
14019,"         901",F00F01,755155,S,,30,,,,,,,,,,,,,,,,12/22/2022,,,,,,,,,,
14019,"         901",F00F01,755162,S,,30,,,,,,,,,,,,,,,,12/22/2022,,,,,,,,,,
14019,"         901",F00F01,755173,S,,30,,,,,,,,,,,,,,,,12/22/2022,,,,,,,,,,
14019,"         901",F00F01,755181,S,,30,,,,,,,,,,,,,,,,12/22/2022,,,,,,,,,,
14019,"         901",F00F01,755196,S,,30,,,,,,,,,,,,,,,,12/22/2022,,,,,,,,,,
14019,"         901",F00F01,756918,S,,30,,,,,,,,,,,,,,,,01/04/2023,,,,,,,,,,
14019,"         901",F00F01,756942,S,,30,,,,,,,,,,,,,,,,01/04/2023,,,,,,,,,,
14019,"         901",F00F01,756967,S,,30,,,,,,,,,,,,,,,,01/04/2023,,,,,,,,,,
14019,"         901",F00F01,756980,S,,30,,,,,,,,,,,,,,,,01/04/2023,,,,,,,,,,
14019,"         901",F00J04,757437,S,,30,,,,,,,,,,,,,,,,01/04/2023,,,,,,,,,,
14019,"         901",F00J04,757696,S,,30,,,,,,,,,,,,,,,,01/05/2023,,,,,,,,,,
14019,"         901",F00J04,757699,S,,30,,,,,,,,,,,,,,,,01/05/2023,,,,,,,,,,
14019,"         901",F00J04,757723,S,,30,,,,,,,,,,,,,,,,01/05/2023,,,,,,,,,,
14019,"         901",F00J04,757729,S,,30,,,,,,,,,,,,,,,,01/05/2023,,,,,,,,,,
14019,"         901",F00J04,757737,S,,30,,,,,,,,,,,,,,,,01/05/2023,,,,,,,,,,
14019,"         901",F00J04,757745,S,,30,,,,,,,,,,,,,,,,01/05/2023,,,,,,,,,,
14019,"         901",F00J04,757754,S,,30,,,,,,,,,,,,,,,,01/05/2023,,,,,,,,,,
14019,"         901",F00J04,757771,S,,30,,,,,,,,,,,,,,,,01/05/2023,,,,,,,,,,
14019,"         901",F00J04,757778,S,,30,,,,,,,,,,,,,,,,01/05/2023,,,,,,,,,,
14019,"         901",F00J04,757790,S,,30,,,,,,,,,,,,,,,,01/05/2023,,,,,,,,,,
14019,"         901",F00J04,757830,S,,30,,,,,,,,,,,,,,,,01/05/2023,,,,,,,,,,
14019,"         901",F00J04,757840,S,,30,,,,,,,,,,,,,,,,01/05/2023,,,,,,,,,,
14019,"         901",F00J04,757863,S,,30,,,,,,,,,,,,,,,,01/05/2023,,,,,,,,,,
14019,"         901",F00J04,757890,S,,30,,,,,,,,,,,,,,,,01/05/2023,,,,,,,,,,
14019,"         901",F00J04,757899,S,,30,,,,,,,,,,,,,,,,01/05/2023,,,,,,,,,,
14019,"         901",F00J04,757918,S,,30,,,,,,,,,,,,,,,,01/05/2023,,,,,,,,,,
14019,"         901",F00J04,757927,S,,30,,,,,,,,,,,,,,,,01/05/2023,,,,,,,,,,
14019,"         901",F00K01,752258,S,,30,,,,,,,,,,,,,,,,12/19/2022,,,,,,,,,,
14019,"         901",F00K01,752264,S,,30,,,,,,,,,,,,,,,,12/19/2022,,,,,,,,,,
14019,"         901",F00K01,752275,S,,30,,,,,,,,,,,,,,,,12/19/2022,,,,,,,,,,
14019,"         901",F00K01,752281,S,,30,,,,,,,,,,,,,,,,12/19/2022,,,,,,,,,,
14019,"         901",F00K01,752285,S,,30,,,,,,,,,,,,,,,,12/19/2022,,,,,,,,,,
14019,"         901",F00K01,752324,S,,30,,,,,,,,,,,,,,,,12/19/2022,,,,,,,,,,
14019,"         901",F00K01,752337,S,,30,,,,,,,,,,,,,,,,12/19/2022,,,,,,,,,,
14019,"         901",F00K01,752362,S,,30,,,,,,,,,,,,,,,,12/19/2022,,,,,,,,,,
14019,"         901",F00K01,756202,S,,30,,,,,,,,,,,,,,,,01/02/2023,,,,,,,,,,
14019,"         901",F00K01,756206,S,,30,,,,,,,,,,,,,,,,01/03/2023,,,,,,,,,,
14019,"         901",F00K01,756265,S,,30,,,,,,,,,,,,,,,,01/03/2023,,,,,,,,,,
14019,"         901",F00K01,756273,S,,30,,,,,,,,,,,,,,,,01/03/2023,,,,,,,,,,
14019,"         901",F00K01,756279,S,,30,,,,,,,,,,,,,,,,01/03/2023,,,,,,,,,,
14019,"         901",F00K01,756287,S,,30,,,,,,,,,,,,,,,,01/03/2023,,,,,,,,,,
14019,"         901",F00K01,756292,S,,30,,,,,,,,,,,,,,,,01/03/2023,,,,,,,,,,
14019,"         901",F00K01,756296,S,,30,,,,,,,,,,,,,,,,01/03/2023,,,,,,,,,,
14019,"         901",F00K01,756317,S,,30,,,,,,,,,,,,,,,,01/03/2023,,,,,,,,,,
14019,"         901",F00K01,756334,S,,30,,,,,,,,,,,,,,,,01/03/2023,,,,,,,,,,
14019,"         901",F00K01,756346,S,,30,,,,,,,,,,,,,,,,01/03/2023,,,,,,,,,,
14019,"         901",F00L04,744035,S,,30,,,,,,,,,,,,,,,,12/06/2022,,,,,,,,,,
14019,"         901",F00L04,752443,S,,30,,,,,,,,,,,,,,,,12/19/2022,,,,,,,,,,
14019,"         901",F00L04,755204,S,,30,,,,,,,,,,,,,,,,12/22/2022,,,,,,,,,,
14019,"         901",F00L04,755215,S,,30,,,,,,,,,,,,,,,,12/22/2022,,,,,,,,,,
14019,"         901",F00L04,756928,S,,30,,,,,,,,,,,,,,,,01/04/2023,,,,,,,,,,
14019,"         901",F00L04,757092,S,,30,,,,,,,,,,,,,,,,01/04/2023,,,,,,,,,,
14019,"         901",F00L04,757104,S,,30,,,,,,,,,,,,,,,,01/04/2023,,,,,,,,,,
14019,"         901",F00L04,757131,S,,30,,,,,,,,,,,,,,,,01/04/2023,,,,,,,,,,
14019,"         901",F00L04,757153,S,,30,,,,,,,,,,,,,,,,01/04/2023,,,,,,,,,,
14019,"         901",F00L04,757159,S,,30,,,,,,,,,,,,,,,,01/04/2023,,,,,,,,,,
